#TFM v1.0.7 by tritical
field = bottom
crc32 = 3d11ed33
1658 c - [9]
1659 l + [256]
1660 l + [256]
1661 p - [16]
1662 p + [256]
1663 c - [17]
1664 l + [256]
1665 p + [256]
1666 p - [14]
1667 p + [256]
1668 c - [23]
1669 p + [256]
1670 l + [256]
1671 p - [10]
1672 p + [256]
1673 c - [13]
1674 l + [256]
1675 u - [12]
1676 c - [9]
1677 c - [13]
1678 c - [9]
1679 c - [7]
1680 p - [4]
1681 p - [7]
1682 c - [9]
1683 c - [7]
1684 c - [18]
1685 c - [15]
1686 p - [8]
1687 c - [12]
1688 p - [11]
1689 p - [9]
1690 p - [36]
1691 p - [10]
1692 p - [17]
1693 c - [13]
1694 c - [8]
1695 p - [6]
1696 p - [9]
1697 c - [7]
1698 c - [8]
1699 c - [10]
1700 p - [7]
1701 c - [7]
1702 c - [8]
1703 c - [9]
1704 c - [6]
1705 p - [10]
1706 c - [11]
1707 p - [8]
1708 c - [6]
1709 c - [15]
1710 c - [12]
1711 c - [20]
1712 c - [15]
1713 c - [17]
1714 c - [14]
1715 c - [11]
1716 p - [51]
1717 c - [8]
1718 p - [8]
1719 p - [45]
1720 p - [17]
1721 c - [8]
1722 c - [3]
1723 p - [14]
1724 l + [256]
1725 c - [12]
1726 c - [12]
1727 c - [11]
1728 p + [256]
1729 p + [248]
1730 p - [10]
1731 l + [256]
1732 c - [6]
1733 p - [11]
1734 p - [19]
1735 c - [44]
1736 c - [27]
1737 c - [32]
1738 p - [32]
1739 p - [31]
1740 c - [9]
1741 c - [17]
1742 c - [6]
1743 u - [14]
1744 p - [14]
1745 c - [20]
1746 c - [11]
1747 c - [19]
1748 p - [41]
1749 p - [12]
1750 c - [4]
1751 c - [5]
1752 c - [4]
1753 p - [11]
1754 p - [5]
1755 c - [6]
1756 c - [9]
1757 c - [9]
1758 p - [10]
1759 p - [12]
1760 c - [12]
1761 c - [6]
1762 c - [9]
1763 p - [8]
1764 p - [12]
1765 c - [11]
1766 c - [10]
1767 c - [15]
1768 p - [16]
1769 p - [18]
1770 c - [15]
1771 c - [11]
1772 c - [41]
1773 p - [13]
1774 c - [12]
1775 c - [13]
1776 c - [13]
1777 c - [13]
1778 p - [16]
1779 c - [18]
1780 c - [18]
1781 c - [12]
1782 c - [11]
1783 p - [11]
1784 p - [13]
1785 c - [24]
1786 c - [17]
1787 c - [14]
1788 p - [13]
1789 p - [15]
1790 c - [13]
1791 c - [11]
1792 c - [12]
1793 p - [15]
1794 p - [12]
1795 p - [13]
1796 c - [14]
1797 c - [15]
1798 p - [15]
1799 p - [14]
1800 c - [12]
1801 c - [14]
1802 c - [12]
1803 p - [14]
1804 p - [12]
1805 c - [12]
1806 c - [13]
1807 c - [22]
1808 p - [24]
1809 p - [13]
1810 c - [15]
1811 c - [15]
1812 c - [13]
1813 p - [12]
1814 p - [13]
1815 c - [13]
1816 c - [15]
1817 c - [14]
1818 p - [14]
1819 p - [14]
1820 c - [16]
1821 c - [14]
1822 c - [14]
1823 p - [14]
1824 p - [14]
1825 c - [15]
1826 c - [13]
1827 c - [14]
1828 p - [16]
1829 p - [12]
1830 c - [13]
1831 c - [12]
1832 c - [15]
1833 p - [16]
1834 p - [15]
1835 c - [12]
1836 c - [10]
1837 c - [15]
1838 p - [16]
1839 p - [12]
1840 c - [16]
1841 c - [19]
1842 c - [10]
1843 p - [7]
1844 p - [9]
1845 c - [21]
1846 l + [180]
1847 c - [12]
1848 p - [12]
1849 p - [11]
1850 c - [15]
1851 c - [12]
1852 c - [12]
1853 p - [11]
1854 p - [12]
1855 c - [15]
1856 c - [15]
1857 c - [12]
1858 p - [13]
1859 p - [16]
1860 c - [14]
1861 c - [12]
1862 c - [14]
1863 p - [13]
1864 p - [11]
1865 c - [12]
1866 c - [12]
1867 c - [16]
1868 p - [17]
1869 p - [16]
1870 c - [14]
1871 c - [14]
1872 c - [12]
1873 p - [13]
1874 p - [23]
1875 c - [16]
1876 c - [14]
1877 c - [13]
1878 p - [16]
1879 p - [13]
1880 c - [21]
1881 c - [13]
1882 c - [30]
1883 p - [23]
1884 p - [26]
1885 c - [15]
1886 c - [12]
1887 c - [15]
1888 p - [15]
1889 p - [14]
1890 c - [16]
1891 c - [23]
1892 c - [16]
1893 p - [15]
1894 p - [19]
1895 c - [14]
1896 c - [20]
1897 c - [24]
1898 p - [20]
1899 p - [16]
1900 p - [9]
1901 p - [8]
1902 c - [10]
1903 c - [9]
1904 c - [9]
1905 p - [6]
1906 p - [31]
1907 c - [11]
1908 c - [35]
1909 c - [6]
1910 p - [17]
1911 p - [6]
1912 c - [14]
1913 c - [21]
1914 c - [6]
1915 p - [23]
1916 p - [52]
1917 c - [55]
1918 c - [59]
1919 c - [30]
1920 p - [12]
1921 p - [15]
1922 c - [30]
1923 c - [9]
1924 u - [14]
1925 p - [14]
1926 p - [20]
1927 c - [19]
1928 c - [21]
1929 c - [26]
1930 p - [23]
1931 p - [28]
1932 c - [21]
1933 c - [13]
1934 c - [13]
1935 p - [29]
1936 p - [24]
1937 c - [4]
1938 c - [10]
1939 c - [2]
1940 p - [4]
1941 p - [12]
1942 c - [8]
1943 l + [217]
1944 c - [25]
1945 p - [27]
1946 p - [15]
1947 c - [3]
1948 c - [9]
1949 c - [5]
1950 p - [11]
1951 p - [35]
1952 c - [7]
1953 c - [8]
1954 c - [24]
1955 p - [9]
1956 p - [20]
1957 c - [9]
1958 c - [50]
1959 c - [3]
1960 p - [8]
1961 p - [29]
1962 c - [12]
1963 c - [15]
1964 c - [6]
1965 p - [13]
1966 p - [14]
1967 c - [15]
1968 c - [16]
1969 c - [21]
1970 p - [14]
1971 p - [16]
1972 c - [44]
1973 c - [29]
1974 c - [11]
1975 p - [7]
1976 p - [8]
1977 c - [9]
1978 c - [13]
1979 c - [14]
1980 p - [4]
1981 p - [33]
1982 c - [15]
1983 c - [12]
1984 c - [4]
1985 c - [6]
1986 p - [6]
1987 c - [6]
1988 c - [6]
1989 c - [8]
1990 p - [4]
1991 p - [4]
1992 c - [6]
1993 c - [21]
1994 c - [8]
1995 p - [14]
1996 p - [14]
1997 c - [14]
1998 c - [20]
1999 c - [12]
2000 p - [11]
2001 p - [10]
2002 c - [22]
2003 c - [12]
2004 c - [24]
2005 p - [15]
2006 p - [20]
2007 c - [18]
2008 c - [11]
2009 c - [14]
2010 p - [16]
2011 p - [10]
2012 p - [24]
2013 c - [13]
2014 c - [20]
2015 p - [9]
2016 p - [11]
2017 c - [7]
2018 c - [11]
2019 c - [8]
2020 p - [19]
2021 p - [9]
2022 c - [9]
2023 c - [8]
2024 c - [8]
2025 p - [9]
2026 p - [12]
2027 c - [9]
2028 c - [9]
2029 c - [10]
2030 p - [11]
2031 p - [13]
2032 c - [16]
2033 c - [10]
2034 c - [8]
2035 p - [7]
2036 p - [6]
2037 c - [8]
2038 c - [9]
2039 l + [166]
2040 p - [24]
2041 p - [9]
2042 c - [14]
2043 c - [6]
2044 c - [8]
2045 p - [13]
2046 p - [11]
2047 c - [11]
2048 c - [17]
2049 c - [15]
2050 p - [11]
2051 p - [8]
2052 c - [12]
2053 c - [21]
2054 c - [11]
2055 p - [11]
2056 p - [16]
2057 c - [13]
2058 c - [16]
2059 c - [11]
2060 p - [10]
2061 c - [11]
2062 p - [11]
2063 c - [29]
2064 c - [10]
2065 p - [9]
2066 p - [16]
2067 c - [12]
2068 c - [15]
2069 c - [13]
2070 p - [12]
2071 p - [23]
2072 c - [12]
2073 c - [13]
2074 c - [13]
2075 p - [13]
2076 p - [30]
2077 p - [14]
2078 c - [15]
2079 c - [17]
2080 p - [17]
2081 p - [24]
2082 c - [17]
2083 c - [13]
2084 c - [11]
2085 p - [13]
2086 p - [14]
2087 c - [11]
2088 c - [8]
2089 c - [15]
2090 p - [14]
2091 p - [9]
2092 c - [26]
2093 c - [6]
2094 c - [10]
2095 p - [8]
2096 p - [12]
2097 p - [13]
2098 p - [13]
2099 p - [12]
2100 c - [13]
2101 c - [16]
2102 p - [17]
2103 p - [17]
2104 c - [20]
2105 c - [9]
2106 c - [13]
2107 p - [9]
2108 p - [13]
2109 c - [16]
2110 c - [11]
2111 c - [13]
2112 p - [17]
2113 p - [6]
2114 p - [9]
2115 c - [12]
2116 c - [16]
2117 p - [16]
2118 p - [16]
2119 c - [9]
2120 c - [22]
2121 c - [12]
2122 p - [10]
2123 p - [7]
2124 c - [12]
2125 c - [16]
2126 c - [12]
2127 p - [11]
2128 p - [13]
2129 c - [23]
2130 c - [11]
2131 c - [21]
2132 p - [27]
2133 p - [45]
2134 c - [16]
2135 c - [13]
2136 c - [22]
2137 p - [14]
2138 p - [52]
2139 c - [23]
2140 c - [16]
2141 c - [10]
2142 p - [17]
2143 p - [15]
2144 c - [27]
2145 c - [16]
2146 c - [18]
2147 p - [16]
2148 p - [14]
2149 c - [18]
2150 c - [19]
2151 c - [10]
2152 p - [21]
2153 p - [30]
2154 c - [17]
2155 c - [14]
2156 c - [25]
2157 p - [22]
2158 p - [11]
2159 c - [9]
2160 c - [10]
2161 c - [8]
2162 p - [7]
2163 p - [7]
2164 p - [9]
2165 c - [8]
2166 c - [9]
2167 p - [16]
2168 p - [10]
2169 c - [10]
2170 c - [10]
2171 c - [11]
2172 p - [13]
2173 p - [13]
2174 c - [16]
2175 c - [13]
2176 c - [7]
2177 p - [8]
2178 p - [16]
2179 p - [17]
2180 c - [8]
2181 c - [9]
2182 p - [12]
2183 p - [23]
2184 c - [18]
2185 c - [12]
2186 c - [24]
2187 p - [24]
2188 p - [13]
2189 c - [10]
2190 c - [10]
2191 c - [13]
2192 p - [11]
2193 p - [10]
2194 c - [10]
2195 c - [9]
2196 c - [15]
2197 p - [9]
2198 p - [10]
2199 c - [20]
2200 c - [11]
2201 c - [9]
2202 p - [12]
2203 p - [10]
2204 c - [11]
2205 c - [8]
2206 c - [11]
2207 p - [12]
2208 p - [9]
2209 c - [23]
2210 c - [6]
2211 c - [9]
2212 p - [9]
2213 p - [11]
2214 c - [21]
2215 c - [14]
2216 c - [16]
2217 p - [17]
2218 p - [9]
2219 c - [18]
2220 c - [12]
2221 c - [12]
2222 p - [12]
2223 p - [11]
2224 c - [10]
2225 c - [10]
2226 c - [16]
2227 p - [30]
2228 p - [18]
2229 c - [11]
2230 c - [34]
2231 c - [40]
2232 p - [26]
2233 p - [21]
2234 c - [13]
2235 c - [14]
2236 p + [256]
2237 p - [12]
2238 p - [20]
2239 c - [5]
2240 c - [11]
2241 c - [8]
2242 p - [9]
2243 p - [8]
2244 c - [8]
2245 c - [10]
2246 c - [40]
2247 p - [9]
2248 p - [10]
2249 c - [9]
2250 c - [11]
2251 c - [8]
2252 p - [9]
2253 p - [12]
2254 c - [14]
2255 u - [6]
2256 p - [6]
2257 c - [12]
2258 l + [256]
2259 p - [29]
2260 c - [14]
2261 l + [256]
2262 c - [15]
2263 l + [256]
2264 c - [12]
2265 p + [256]
2266 p - [9]
2267 c - [10]
2268 p + [256]
2269 p - [9]
2270 c - [10]
2271 p + [256]
2272 c - [16]
2273 p + [256]
2274 c - [16]
2275 p + [256]
2276 p - [14]
2277 c - [21]
2278 l + [256]
2279 p - [18]
2280 c - [35]
2281 l + [256]
2282 c - [13]
2283 p + [255]
2284 c - [14]
2285 u - [20]
2286 p - [20]
2287 c - [13]
2288 u - [15]
2289 p - [15]
2290 c - [21]
2291 l + [256]
2292 c - [7]
2293 p + [256]
2294 c - [44]
2295 u - [18]
2296 p - [18]
2297 c - [16]
2298 u - [22]
2299 p - [22]
2300 c - [18]
2301 p + [256]
2302 c - [47]
2303 p + [256]
2304 c - [34]
2305 l + [256]
2306 p - [16]
2307 c - [16]
2308 p + [256]
2309 p - [16]
2310 u - [16]
2311 c - [16]
2312 c - [29]
2313 c - [16]
2314 c - [28]
2315 c - [20]
2316 c - [16]
2317 u - [19]
2318 p - [19]
2319 c - [16]
2320 p - [16]
2321 p - [16]
2322 p - [16]
2323 p - [16]
2324 c - [20]
2325 u - [16]
2326 c - [16]
2327 c - [17]
2328 c - [16]
2329 l + [190]
2330 c - [13]
2331 c - [17]
2332 c - [17]
2333 p - [18]
2334 c - [16]
2335 p - [16]
2336 p - [16]
2337 p - [16]
2338 p - [16]
2339 p - [18]
2340 p - [16]
2341 c - [17]
2342 u - [16]
2343 c - [16]
2344 c - [17]
2345 c - [16]
2346 c - [19]
2347 c - [19]
2348 p - [16]
2349 c - [16]
2350 p - [20]
2351 p - [17]
2352 p - [17]
2353 p - [16]
2354 p - [16]
2355 p - [16]
2356 c - [17]
2357 u - [16]
2358 c - [17]
2359 c - [16]
2360 c - [16]
2361 c - [20]
2362 c - [22]
2363 c - [16]
2364 c - [23]
2365 p - [28]
2366 c - [20]
2367 p - [22]
2368 p - [20]
2369 p - [18]
2370 p - [16]
2371 c - [16]
2372 u - [16]
2373 p - [16]
2374 c - [38]
2375 c - [16]
2376 c - [16]
2377 c - [18]
2378 c - [16]
2379 c - [65]
2380 p - [59]
2381 c - [16]
2382 p - [17]
2383 p - [16]
2384 p - [16]
2385 p - [16]
2386 p - [18]
2387 p - [16]
2388 c - [19]
2389 l + [256]
2390 c - [17]
2391 c - [16]
2392 c - [16]
2393 c - [16]
2394 c - [16]
2395 p - [16]
2396 c - [17]
2397 p - [17]
2398 p - [16]
2399 c - [17]
2400 p - [16]
2401 p - [16]
2402 p - [16]
2403 c - [16]
2404 c - [16]
2405 c - [16]
2406 p - [16]
2407 p - [16]
2408 c - [16]
2409 c - [16]
2410 c - [12]
2411 p - [13]
2412 p - [18]
2413 c - [16]
2414 c - [16]
2415 c - [16]
2416 p - [18]
2417 p - [32]
2418 p - [16]
2419 c - [16]
2420 c - [17]
2421 p - [17]
2422 p - [13]
2423 c - [16]
2424 c - [12]
2425 c - [15]
2426 p - [15]
2427 p - [22]
2428 c - [14]
2429 c - [37]
2430 u - [55]
2431 p - [55]
2432 p - [37]
2433 c - [6]
2434 c - [10]
2435 c - [14]
2436 p - [14]
2437 p - [23]
2438 c - [11]
2439 c - [8]
2440 c - [7]
2441 p - [20]
2442 p - [9]
2443 c - [3]
2444 c - [6]
2445 c - [18]
2446 p - [4]
2447 p - [7]
2448 c - [8]
2449 c - [6]
2450 c - [7]
2451 p - [6]
2452 p - [15]
2453 c - [12]
2454 c - [14]
2455 c - [12]
2456 p - [5]
2457 p - [3]
2458 c - [7]
2459 c - [7]
2460 c - [8]
2461 p - [12]
2462 p - [7]
2463 c - [15]
2464 c - [9]
2465 c - [6]
2466 p - [10]
2467 p - [9]
2468 c - [21]
2469 c - [16]
2470 c - [6]
2471 p - [16]
2472 p - [9]
2473 c - [7]
2474 c - [11]
2475 c - [5]
2476 p - [9]
2477 p - [19]
2478 c - [7]
2479 c - [12]
2480 c - [13]
2481 p - [5]
2482 p - [17]
2483 c - [14]
2484 c - [30]
2485 c - [8]
2486 p - [20]
2487 p - [6]
2488 c - [6]
2489 c - [11]
2490 c - [7]
2491 p - [7]
2492 p - [8]
2493 c - [10]
2494 c - [8]
2495 c - [13]
2496 p - [9]
2497 p - [8]
2498 c - [9]
2499 c - [7]
2500 c - [7]
2501 p - [12]
2502 p - [10]
2503 c - [9]
2504 c - [7]
2505 c - [7]
2506 p - [8]
2507 p - [17]
2508 c - [10]
2509 c - [8]
2510 c - [9]
2511 p - [8]
2512 p - [12]
2513 c - [16]
2514 c - [6]
2515 c - [7]
2516 p - [8]
2517 p - [3]
2518 c - [4]
2519 c - [13]
2520 c - [12]
2521 p - [14]
2522 p - [8]
2523 c - [10]
2524 c - [12]
2525 c - [17]
2526 p - [10]
2527 p - [13]
2528 c - [16]
2529 c - [7]
2530 c - [8]
2531 p - [6]
2532 p - [7]
2533 c - [7]
2534 c - [11]
2535 c - [11]
2536 p - [9]
2537 p - [24]
2538 c - [7]
2539 l + [117]
2540 c - [32]
2541 p - [17]
2542 p - [17]
2543 c - [8]
2544 c - [9]
2545 c - [13]
2546 p - [15]
2547 p - [13]
2548 c - [9]
2549 c - [7]
2550 c - [9]
2551 p - [9]
2552 p - [10]
2553 c - [13]
2554 c - [10]
2555 c - [15]
2556 p - [21]
2557 p - [8]
2558 c - [17]
2559 c - [17]
2560 c - [8]
2561 p - [16]
2562 p - [12]
2563 c - [23]
2564 c - [19]
2565 c - [8]
2566 p - [14]
2567 p - [23]
2568 p - [10]
2569 c - [7]
2570 c - [7]
2571 p - [7]
2572 p - [7]
2573 p - [11]
2574 c - [9]
2575 c - [8]
2576 p - [11]
2577 p - [8]
2578 c - [10]
2579 c - [7]
2580 c - [31]
2581 p - [24]
2582 p - [9]
2583 c - [10]
2584 c - [7]
2585 c - [5]
2586 c - [5]
2587 c - [18]
2588 c - [10]
2589 c - [19]
2590 c - [21]
2591 c - [12]
2592 c - [13]
2593 c - [19]
2594 c - [12]
2595 c - [18]
2596 c - [10]
2597 c - [19]
2598 c - [10]
2599 c - [20]
2600 c - [25]
2601 c - [11]
2602 c - [21]
2603 c - [19]
2604 c - [12]
2605 c - [11]
2606 p - [9]
2607 c - [8]
2608 c - [10]
2609 c - [17]
2610 c - [7]
2611 c - [12]
2612 c - [7]
2613 c - [10]
2614 c - [14]
2615 c - [5]
2616 c - [11]
2617 c - [7]
2618 c - [9]
2619 c - [4]
2620 c - [21]
2621 c - [7]
2622 c - [13]
2623 p - [12]
2624 c - [17]
2625 c -
2626 c -
2627 c -
2628 p - [54]
2629 c - [14]
2630 c - [17]
2631 c - [9]
2632 p - [25]
2633 p - [10]
2634 c - [10]
2635 u - [9]
2636 p - [9]
2637 c - [8]
2638 c - [20]
2639 c - [25]
2640 p - [18]
2641 p - [19]
2642 c - [27]
2643 c - [22]
2644 c - [22]
2645 p - [26]
2646 p - [24]
2647 c - [20]
2648 u - [10]
2649 p - [10]
2650 c - [11]
2651 c - [7]
2652 c - [11]
2653 p - [10]
2654 p - [15]
2655 c - [15]
2656 c - [15]
2657 c - [13]
2658 p - [17]
2659 p - [23]
2660 c - [19]
2661 c - [18]
2662 c - [22]
2663 p - [19]
2664 p - [22]
2665 p - [32]
2666 p - [19]
2667 p - [12]
2668 c - [8]
2669 c - [16]
2670 p - [16]
2671 p - [12]
2672 c - [9]
2673 c - [17]
2674 c - [16]
2675 p - [22]
2676 p - [23]
2677 c - [18]
2678 c - [11]
2679 c - [13]
2680 p - [10]
2681 p - [10]
2682 c - [16]
2683 c - [16]
2684 c - [16]
2685 p - [16]
2686 p - [9]
2687 c - [11]
2688 c - [12]
2689 c - [7]
2690 p - [12]
2691 p - [8]
2692 c - [22]
2693 c - [14]
2694 c - [11]
2695 p - [13]
2696 p - [8]
2697 c - [7]
2698 c - [8]
2699 c - [13]
2700 p - [10]
2701 p - [13]
2702 c - [13]
2703 c - [7]
2704 c - [9]
2705 p - [9]
2706 p - [11]
2707 c - [7]
2708 c - [8]
2709 c - [13]
2710 p - [12]
2711 p - [8]
2712 c - [9]
2713 c - [11]
2714 c - [8]
2715 p - [11]
2716 p - [18]
2717 c - [10]
2718 c - [8]
2719 c - [10]
2720 p - [10]
2721 p - [9]
2722 c - [9]
2723 c - [12]
2724 c - [16]
2725 p - [17]
2726 p - [10]
2727 p - [7]
2728 c - [10]
2729 c - [6]
2730 p - [8]
2731 p - [14]
2732 c - [7]
2733 c - [8]
2734 c - [10]
2735 p - [6]
2736 p - [21]
2737 c - [4]
2738 c - [5]
2739 c - [20]
2740 p - [13]
2741 p - [9]
2742 c - [22]
2743 c - [14]
2744 c - [7]
2745 p - [9]
2746 p - [7]
2747 c - [22]
2748 c - [10]
2749 c - [11]
2750 p - [15]
2751 p - [26]
2752 c - [11]
2753 c - [12]
2754 c - [17]
2755 p - [26]
2756 p - [16]
2757 p - [15]
#
#
# OVR HELP INFORMATION:
#
# [COMBED FRAMES]
#
#   [Individual Frames]
#   FORMAT:  frame_number (mic_value)
#
#   252 (256)
#   254 (256)
#   256 (256)
#   258 (256)
#   279 (256)
#   281 (256)
#   283 (256)
#   304 (256)
#   306 (256)
#   308 (256)
#   327 (256)
#   329 (256)
#   331 (256)
#   354 (256)
#   356 (256)
#   358 (256)
#   379 (256)
#   381 (256)
#   1119 (256)
#   1278 (256)
#   1283 (256)
#   1293 (256)
#   1324 (256)
#   1418 (232)
#   1420 (233)
#   1425 (229)
#   1440 (256)
#   1445 (256)
#   1463 (256)
#   1466 (241)
#   1472 (256)
#   1478 (256)
#   1481 (256)
#   1484 (256)
#   1590 (188)
#   1592 (256)
#   1594 (256)
#   1597 (256)
#   1599 (256)
#   1602 (256)
#   1604 (256)
#   1607 (256)
#   1609 (256)
#   1612 (256)
#   1614 (256)
#   1617 (256)
#   1619 (256)
#   1622 (256)
#   1624 (99)
#   1634 (94)
#   1637 (256)
#   1639 (256)
#   1642 (256)
#   1644 (256)
#   1647 (256)
#   1649 (256)
#   1650 (256)
#   1652 (256)
#   1654 (256)
#   1655 (256)
#   1657 (256)
#   1659 (256)
#   1660 (256)
#   1662 (256)
#   1664 (256)
#   1665 (256)
#   1667 (256)
#   1669 (256)
#   1670 (256)
#   1672 (256)
#   1674 (256)
#   1724 (256)
#   1728 (256)
#   1729 (248)
#   1731 (256)
#   1846 (180)
#   1943 (217)
#   2039 (166)
#   2236 (256)
#   2258 (256)
#   2261 (256)
#   2263 (256)
#   2265 (256)
#   2268 (256)
#   2271 (256)
#   2273 (256)
#   2275 (256)
#   2278 (256)
#   2281 (256)
#   2283 (255)
#   2291 (256)
#   2293 (256)
#   2301 (256)
#   2303 (256)
#   2305 (256)
#   2308 (256)
#   2329 (190)
#   2389 (256)
#   2539 (117)
#   2625 (181)
#   2626 (122)
#   2627 (106)
#
#   [Grouped Ranges Allowing Small Breaks]
#   FORMAT:  frame_start, frame_end (percentage combed)
#
#   252,258 (57.1%)
#   279,283 (60.0%)
#   304,308 (60.0%)
#   327,331 (60.0%)
#   354,358 (60.0%)
#   379,381 (66.7%)
#   1278,1293 (18.8%)
#   1418,1425 (37.5%)
#   1440,1445 (33.3%)
#   1463,1484 (27.3%)
#   1590,1674 (43.5%)
#   1724,1731 (50.0%)
#   2258,2308 (33.3%)
#   2625,2627 (100.0%)
#
#
# [POSSIBLE MISSED COMBED FRAMES]
#
#   FORMAT:  frame_number (mic_value)
#
#   0 (20)
#   112 (32)
#   122 (37)
#   138 (42)
#   141 (36)
#   250 (36)
#   400 (28)
#   430 (47)
#   526 (36)
#   607 (43)
#   633 (35)
#   643 (39)
#   654 (28)
#   678 (37)
#   710 (31)
#   727 (24)
#   734 (31)
#   760 (40)
#   785 (22)
#   888 (34)
#   893 (48)
#   908 (24)
#   1032 (43)
#   1039 (30)
#   1043 (45)
#   1214 (35)
#   1253 (41)
#   1271 (40)
#   1276 (33)
#   1573 (40)
#   1585 (32)
#   1690 (36)
#   1716 (51)
#   1719 (45)
#   1748 (41)
#   1772 (41)
#   1906 (31)
#   1908 (35)
#   1951 (35)
#   1958 (50)
#   1961 (29)
#   1981 (33)
#   2063 (29)
#   2076 (30)
#   2092 (26)
#   2138 (52)
#   2246 (40)
#   2302 (47)
#   2374 (38)
#   2484 (30)
#
#
# [u, b, AND AGAINST ORDER (n) MATCHES]
#
#   FORMAT:  frame_number match  or  range_start,range_end match
#
#   1 u
#   90 u
#   234 u
#   498 u
#   885 u
#   900 u
#   919 u
#   979 u
#   1043 u
#   1288 n
#   1303 u
#   1334 u
#   1339 u
#   1349 u
#   1372 u
#   1377 u
#   1379 u
#   1384 u
#   1389 u
#   1394 u
#   1399 u
#   1404 u
#   1409 u
#   1414 u
#   1460 u
#   1475 n
#   1487 u
#   1580 u
#   1595 u
#   1600 u
#   1605 u
#   1610 u
#   1615 u
#   1620 u
#   1640 u
#   1645 u
#   1675 u
#   1743 u
#   1924 u
#   2255 u
#   2285 u
#   2288 u
#   2295 u
#   2298 u
#   2310 u
#   2317 u
#   2325 u
#   2342 u
#   2357 u
#   2372 u
#   2430 u
#   2635 u
#   2648 u
